,main_demand,ramp_demand,av_fraction,scenario,policy,model,LaneBasedMoveEvent
0,2603.1353912330505,702.1217421330572,0.24768922250861303,4,0,MyShortMergeModel,67111
1,2518.853628955614,993.4694168919731,0.24768922250861303,5,0,MyShortMergeModel,66184
2,1735.8381756956142,855.1404090517667,0.24768922250861303,6,0,MyShortMergeModel,62607
3,1938.881016192788,614.9115522361334,0.24768922250861303,7,0,MyShortMergeModel,57076
4,1134.454437316591,503.4931431029488,0.24768922250861303,8,0,MyShortMergeModel,27456
5,2603.1353912330505,702.1217421330572,0.16867409326114807,4,1,MyShortMergeModel,64935
6,2518.853628955614,993.4694168919731,0.16867409326114807,5,1,MyShortMergeModel,71109
7,1735.8381756956142,855.1404090517667,0.16867409326114807,6,1,MyShortMergeModel,53402
8,1938.881016192788,614.9115522361334,0.16867409326114807,7,1,MyShortMergeModel,53758
9,1134.454437316591,503.4931431029488,0.16867409326114807,8,1,MyShortMergeModel,37428
10,2603.1353912330505,702.1217421330572,0.2629468668089451,4,2,MyShortMergeModel,64793
11,2518.853628955614,993.4694168919731,0.2629468668089451,5,2,MyShortMergeModel,66184
12,1735.8381756956142,855.1404090517667,0.2629468668089451,6,2,MyShortMergeModel,53313
13,1938.881016192788,614.9115522361334,0.2629468668089451,7,2,MyShortMergeModel,53313
14,1134.454437316591,503.4931431029488,0.2629468668089451,8,2,MyShortMergeModel,25959
15,2603.1353912330505,702.1217421330572,0.13363829140769035,4,3,MyShortMergeModel,62815
16,2518.853628955614,993.4694168919731,0.13363829140769035,5,3,MyShortMergeModel,68693
17,1735.8381756956142,855.1404090517667,0.13363829140769035,6,3,MyShortMergeModel,51197
18,1938.881016192788,614.9115522361334,0.13363829140769035,7,3,MyShortMergeModel,56778
19,1134.454437316591,503.4931431029488,0.13363829140769035,8,3,MyShortMergeModel,57076
