,main_demand,ramp_demand,level0_fraction,level1_fraction,level2_fraction,level3_fraction,scenario,policy,model,meanDensity,meanFlow,meanSpeed,meanTravelTime,laneChangesToRightBeforeRamp,laneChangesToRightOnRamp,laneChangesToRightAfterRamp,laneChangesToLeftBeforeRamp,laneChangesToLeftOnRamp,laneChangesToLeftAfterRamp,meanHeadwayTime,meanHeadwayDistance
0,3763.5079918154115,802.7029350877247,0.43835116070867836,0.7091838059010142,0.16130425359360168,0.17467953371863282,4,0,VehicleAutomationModel,0.0216254743300727,0.4533856185940107,22.29059851488511,76.65722183614223,8,5,8,9,49,0,,
1,5756.687567665527,974.2378346191467,0.43835116070867836,0.7091838059010142,0.16130425359360168,0.17467953371863282,5,0,VehicleAutomationModel,0.0214930654414378,0.4739196120937648,23.307227375289227,73.41546330764864,2,6,6,7,51,0,,
2,1203.5525591818919,891.9737188115212,0.43835116070867836,0.7091838059010142,0.16130425359360168,0.17467953371863282,6,0,VehicleAutomationModel,0.0107348091830418,0.3229190037515116,29.56374828568402,59.60522105767494,28,7,9,32,61,0,2.114564761216249,60.51602891363189
3,3442.349146363311,916.9087490416551,0.43835116070867836,0.7091838059010142,0.16130425359360168,0.17467953371863282,7,0,VehicleAutomationModel,0.0221873519504408,0.4292292060139221,20.95697245842901,75.62087971155444,15,5,13,11,53,0,,
4,3763.5079918154115,802.7029350877247,0.8137986693654481,0.25728665522994104,0.2764295588426483,0.44831126493946283,4,1,VehicleAutomationModel,0.020546482609778,0.4671103393823782,23.629426669229236,75.23970801563286,3,5,5,4,41,0,1.6071316040176395,34.51226866117827
5,5756.687567665527,974.2378346191467,0.8137986693654481,0.25728665522994104,0.2764295588426483,0.44831126493946283,5,1,VehicleAutomationModel,0.0218944307125416,0.4660573658927537,22.724998108671016,73.97403396845071,4,2,7,8,52,0,,
6,1203.5525591818919,891.9737188115212,0.8137986693654481,0.25728665522994104,0.2764295588426483,0.44831126493946283,6,1,VehicleAutomationModel,0.0096133010682632,0.2889187819501247,29.558526158125748,59.3018822974454,45,8,11,38,64,0,2.178718605493737,61.32464820786692
7,3442.349146363311,916.9087490416551,0.8137986693654481,0.25728665522994104,0.2764295588426483,0.44831126493946283,7,1,VehicleAutomationModel,0.0228694290777434,0.448595078998146,21.17220574592206,78.90554777180267,3,3,5,7,47,0,,
8,3763.5079918154115,802.7029350877247,0.03293047475594066,0.23669912880935268,0.7018158231069752,0.5786440849047225,4,2,VehicleAutomationModel,0.0212977440454067,0.4572356158468478,22.689399990021386,76.88324885523664,11,5,6,13,46,0,,
9,5756.687567665527,974.2378346191467,0.03293047475594066,0.23669912880935268,0.7018158231069752,0.5786440849047225,5,2,VehicleAutomationModel,0.0217781204514998,0.4741495948694855,23.15279888167076,74.43014620266396,3,1,1,3,41,0,,
10,1203.5525591818919,891.9737188115212,0.03293047475594066,0.23669912880935268,0.7018158231069752,0.5786440849047225,6,2,VehicleAutomationModel,0.0108017787502472,0.3240885740524356,29.46618920104465,58.85288138825468,50,9,8,44,82,0,1.9707899141708909,56.726757913995904
11,3442.349146363311,916.9087490416551,0.03293047475594066,0.23669912880935268,0.7018158231069752,0.5786440849047225,7,2,VehicleAutomationModel,0.0218898450751849,0.4620725899456341,22.454635960582134,75.58828447396029,4,4,4,5,54,0,,
12,3763.5079918154115,802.7029350877247,0.5475428855903769,0.9709341235284643,0.9318847618543431,0.9443299135014989,4,3,VehicleAutomationModel,0.0220471740116039,0.450259568531567,21.91358500150112,76.41802617576816,5,9,10,12,51,0,,
13,5756.687567665527,974.2378346191467,0.5475428855903769,0.9709341235284643,0.9318847618543431,0.9443299135014989,5,3,VehicleAutomationModel,0.0210717527921853,0.4684192374672208,23.47080354810042,71.87141709715293,2,5,2,3,49,0,,
14,1203.5525591818919,891.9737188115212,0.5475428855903769,0.9709341235284643,0.9318847618543431,0.9443299135014989,6,3,VehicleAutomationModel,0.0112505173634518,0.3369779723870377,29.428110808827007,59.07108357124058,33,8,10,41,75,0,2.0368727464239247,58.37386916580864
15,3442.349146363311,916.9087490416551,0.5475428855903769,0.9709341235284643,0.9318847618543431,0.9443299135014989,7,3,VehicleAutomationModel,0.0226144261352094,0.4526508746752345,21.54577885156296,77.73604422264512,5,7,10,3,43,0,,
